,,,,,,,,,,,,,,,Ave,
,2,4,8,,,,Phase1,1.259324,1.16685,1.118245,1.117273,1.098158,1.049374,1.117961,1.132455,"64, 8P"
Phase1,1.631082571,1.133556143,1.132455,,,,Phase2,0.072839,0.000372,0.000391,0.00039,0.000358,0.000385,0.000384,0.010731286,
Phase2,0.001798714,0.032830286,0.010731286,,,,Phase3,0.576211,0.41671,0.405092,0.407508,0.416835,0.422682,0.403184,0.435460286,
Phase3,0.310147286,0.379632571,0.435460286,,,,Phase4,0.743397,0.406578,0.380179,0.379808,0.372678,0.377474,0.410912,0.438718,
Phase4,0.294290571,0.255551,0.438718,,,,Phase1,1.130865,1.116909,1.163672,1.091908,1.162149,1.154229,1.115161,1.133556143,"64, 4P"
,,,,,,,Phase2,0.031629,0.028793,0.000189,0.079636,0.021993,0.019907,0.047665,0.032830286,
,,,,,,,Phase3,0.37848,0.377342,0.382677,0.385563,0.37995,0.374558,0.378858,0.379632571,
,,,,,,,Phase4,0.255755,0.252196,0.252316,0.25609,0.255817,0.24768,0.269003,0.255551,
,,,,,,,Phase1,1.644132,1.626421,1.634415,1.643198,1.633301,1.621959,1.614152,1.631082571,"64,2P"
,,,,,,,Phase2,0.000158,0.000163,0.000165,0.000152,0.000152,0.000152,0.011649,0.001798714,
,,,,,,,Phase3,0.32939,0.309576,0.305169,0.3035,0.307067,0.311597,0.304732,0.310147286,
,,,,,,,Phase4,0.296624,0.295025,0.294649,0.293265,0.293196,0.293266,0.294009,0.294290571,
,,,,,,,Phase1,0.532401,0.527315,0.477057,0.545057,0.534913,0.548234,0.539317,0.529184857,"32,8P"
,,,,,,,Phase2,0.00037,0.000487,0.000516,0.000417,0.00037,0.000372,0.000438,0.000424286,
,,,,,,,Phase3,0.228213,0.232991,0.227501,0.215693,0.225639,0.232349,0.219031,0.225916714,
,,,,,,,Phase4,0.202927,0.193467,0.200955,0.246679,0.200937,0.201506,0.197367,0.206262571,
,,,,,,,Phase1,0.531818,0.530947,0.565811,0.539242,0.526528,0.536944,0.54169,0.538997143,"32,4P"
,,,,,,,Phase2,0.030689,0.031075,0.000185,0.022334,0.028776,0.017402,0.024729,0.02217,
,,,,,,,Phase3,0.197003,0.206532,0.201008,0.207212,0.210312,0.19644,0.198176,0.202383286,
,,,,,,,Phase4,0.133236,0.132958,0.133246,0.126721,0.132358,0.127088,0.128538,0.130592143,
,,,,,,,Phase1,0.800124,0.79248,0.791262,0.7956,0.801517,0.792579,0.793186,0.795249714,"32,2P"
,,,,,,,Phase2,0.007641,0.007021,0.008368,0.00905,0.009035,0.008213,0.008284,0.008230286,
,,,,,,,Phase3,0.15393,0.206166,0.196839,0.195965,0.196204,0.198012,0.200042,0.192451143,
,,,,,,,Phase4,0.169662,0.151781,0.153323,0.155022,0.152301,0.152528,0.152262,0.155268429,
,,,,,,,Phase1,0.214103,0.258772,0.219669,0.204544,0.231487,0.227773,0.207461,0.223401286,"16,8P"
,,,,,,,Phase2,0.000366,0.00038,0.000362,0.000371,0.000348,0.000385,0.0004,0.000373143,
,,,,,,,Phase3,0.114083,0.11515,0.120539,0.132176,0.113463,0.114134,0.119993,0.118505429,
,,,,,,,Phase4,0.098311,0.09176,0.090181,0.077423,0.093055,0.093823,0.086369,0.090131714,
,,,,,,,Phase1,0.275739,0.256293,0.267775,0.283533,0.262656,0.264954,0.270315,0.268752143,"16,4P"
,,,,,,,Phase2,0.016486,0.031821,0.006772,0.00015,0.007688,0.009292,0.021328,0.013362429,
,,,,,,,Phase3,0.095508,0.092604,0.093622,0.093501,0.092144,0.093028,0.093086,0.093356143,
,,,,,,,Phase4,0.068638,0.062753,0.062666,0.068955,0.067452,0.062735,0.062672,0.065124429,
,,,,,,,Phase1,0.387751,0.387418,0.384633,0.388426,0.405449,0.386193,0.393446,0.390473714,"16,2P"
,,,,,,,Phase2,0.008466,0.007262,0.006654,0.007126,0.009541,0.007685,0.005717,0.007493,
,,,,,,,Phase3,0.076799,0.0751,0.076716,0.075254,0.076645,0.075208,0.07611,0.075976,
,,,,,,,Phase4,0.072711,0.072641,0.073259,0.073891,0.073002,0.072584,0.072859,0.072992429,
,,,,,,,Phase1,0.136157,0.134508,0.113982,0.082267,0.081949,0.128854,0.095104,0.110403,"8,8P"
,,,,,,,Phase2,0.000374,0.000363,0.000338,0.000379,0.00035,0.00039,0.000391,0.000369286,
,,,,,,,Phase3,0.074145,0.074981,0.074215,0.066555,0.065845,0.072783,0.074207,0.071818714,
,,,,,,,Phase4,0.034352,0.037881,0.038666,0.046964,0.051311,0.041491,0.040192,0.041551,
,,,,,,,Phase1,0.172112,0.140754,0.137635,0.129672,0.13545,0.140174,0.140643,0.142348571,"8,4P"
,,,,,,,Phase2,0.000227,0.003629,0.003669,0.014035,0.001506,0.01055,0.000178,0.004827714,
,,,,,,,Phase3,0.048094,0.047789,0.051508,0.048114,0.047203,0.047881,0.04828,0.048409857,
,,,,,,,Phase4,0.036356,0.041252,0.031379,0.036058,0.031663,0.033507,0.033667,0.034840286,
,,,,,,,Phase1,0.192494,0.192484,0.193004,0.196347,0.193423,0.193083,0.192487,0.193331714,"8,2P"
,,,,,,,Phase2,0.00381,0.004123,0.003957,0.004377,0.003143,0.0039,0.00281,0.003731429,
,,,,,,,Phase3,0.037441,0.038531,0.037759,0.038976,0.037458,0.037632,0.037364,0.037880143,
,,,,,,,Phase4,0.03741,0.03763,0.036673,0.037329,0.036662,0.036887,0.036614,0.037029286,