64000000,13.304425,3.11557,2.63733,3.456293,,,1PE,2PE,4PE,8PE,,,1,2,4,8
64000000,13.245052,2.890555,2.658651,3.037124,,8000000,1.466710429,0.338040857,0.279734714,0.289005286,,8000000,1,4.338855489,5.243219213,5.07502977
64000000,13.194488,3.052527,2.590565,2.495505,,16000000,3.055374571,0.645383429,0.552760429,0.559640143,,16000000,1,0.211228906,4.734200533,5.459534328
64000000,13.181605,2.939668,2.570124,3.391526,,32000000,6.356947571,1.336125857,1.145427571,1.180660429,,32000000,1,5.549846826,5.549846826,5.38423023
64000000,13.310762,2.906442,2.447037,3.110365,,64000000,13.29426029,2.966596,2.554956143,2.953467429,,64000000,1,4.481318078,5.203322305,
64000000,13.273821,2.955396,2.473029,2.640182,,,,,,,,,,,,
64000000,13.549669,2.906014,2.507957,2.543277,,,,,,,,,,,,
32000000,6.368129,1.287717,1.128762,1.153751,,,,,,,,,,,,
32000000,6.296798,1.35014,1.141091,1.187812,,,,,,,,,,,,
32000000,6.387405,1.388794,1.158476,1.157147,,,,,,,,,,,,
32000000,6.376293,1.326057,1.147779,1.230537,,,,,,,,,,,,
32000000,6.358944,1.297247,1.150006,1.120985,,,,,,,,,,,,
32000000,6.357656,1.34895,1.168574,1.242847,,,,,,,,,,,,
32000000,6.353408,1.353976,1.123305,1.171544,,,,,,,,,,,,
16000000,3.080052,0.642331,0.551999,0.519925,,,,,,,,,,,,
16000000,3.037995,0.634865,0.551321,0.572049,,,,,,,,,,,,
16000000,3.03356,0.638812,0.560259,0.553478,,,,,,,,,,,,
16000000,3.084143,0.689875,0.559435,0.575915,,,,,,,,,,,,
16000000,3.022379,0.636872,0.558928,0.664556,,,,,,,,,,,,
16000000,3.07829,0.639764,0.532599,0.522863,,,,,,,,,,,,
16000000,3.051203,0.635165,0.554782,0.508695,,,,,,,,,,,,
8000000,1.477502,0.315801,0.286875,0.274405,,,,,,,,,,,,
8000000,1.491148,0.3444,0.289127,0.309906,,,,,,,,,,,,
8000000,1.468621,0.323071,0.277063,0.31965,,,,,,,,,,,,
8000000,1.454882,0.393693,0.28774,0.260456,,,,,,,,,,,,
8000000,1.452275,0.33291,0.272027,0.265224,,,,,,,,,,,,
8000000,1.475385,0.326287,0.269981,0.288674,,,,,,,,,,,,
8000000,1.44716,0.330124,0.27533,0.304722,,,,,,,,,,,,